,0,1,2,3,4,5,6
0,排名：影片名,类型,总票房（万）,平均票价,场均人次,国家及地区,上映日期
1,1.红海行动,动作,364727,39,33,中国香港/中国,2018-02-16
2,2.唐人街探案2,喜剧,339666,39,39,中国,2018-02-16
3,3.捉妖记2,喜剧,223666,38,44,中国香港/中国,2018-02-16
4,4.复仇者联盟3：无限战争,动作,214842,39,23,美国,2018-05-11
5,5.前任3：再见前任,喜剧,164544,35,27,中国,2017-12-29
6,6.头号玩家,科幻,139526,36,18,美国,2018-03-30
7,7.后来的我们,爱情,135321,34,21,中国,2018-04-28
8,8.狂暴巨兽,动作,98879,35,14,美国,2018-04-13
9,9.无问西东,爱情,75395,31,18,中国,2018-01-12
10,10.神秘巨星,剧情,74676,30,17,印度,2018-01-19
11,11.西游记女儿国,喜剧,72721,40,33,中国香港/中国,2018-02-16
12,12.黑豹,动作,66227,36,17,美国,2018-03-09
13,13.环太平洋2：雷霆再起,科幻,63264,35,13,美国,2018-03-23
14,14.熊出没·变形记,动画,60532,36,30,中国,2018-02-16
15,15.超时空同居,奇幻,54745,33,16,中国,2018-05-18
16,16.古墓丽影：源起之战,动作,49696,35,14,美国,2018-03-16
17,17.勇敢者游戏：决战丛林,动作,49166,34,18,美国,2018-01-12
18,18.厉害了，我的国,纪录片,47886,32,27,中国,2018-03-02
19,19.幕后玩家,剧情,35748,35,13,中国,2018-04-28
20,20.移动迷宫3：死亡解药,动作,31518,35,12,美国,2018-01-26
21,21.小萝莉的猴神大叔,喜剧,28544,31,17,印度,2018-03-02
22,22.星球大战：最后的绝地武士,科幻,26782,37,14,美国,2018-01-05
23,23.芳华,战争,23487,34,15,中国,2017-12-15
24,24.南极之恋,爱情,23436,32,11,中国,2018-02-01
25,25.起跑线,剧情,21018,31,10,印度,2018-04-04
