RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,"$34,382,550 "
2,"LeBron James, SF",Cleveland Cavaliers,"$33,285,709 "
3,"Paul Millsap, PF",Denver Nuggets,"$31,269,231 "
4,"Blake Griffin, PF",LA Clippers,"$29,727,900 "
5,"Gordon Hayward, SF",Boston Celtics,"$29,727,900 "
6,"Kyle Lowry, PG",Toronto Raptors,"$28,703,704 "
7,"Mike Conley, PG",Memphis Grizzlies,"$28,530,608 "
8,"Russell Westbrook, PG",Oklahoma City Thunder,"$28,530,608 "
9,"James Harden, PG",Houston Rockets,"$28,299,399 "
10,"DeMar DeRozan, SG",Toronto Raptors,"$27,739,975 "
11,"Al Horford, PF",Boston Celtics,"$27,734,406 "
12,"Carmelo Anthony, PF",Oklahoma City Thunder,"$26,243,760 "
13,"Damian Lillard, PG",Portland Trail Blazers,"$26,153,057 "
14,"Jrue Holiday, PG",New Orleans Pelicans,"$25,686,667 "
15,"Kevin Durant, SF",Golden State Warriors,"$25,000,000 "
16,"Otto Porter Jr., SF",Washington Wizards,"$24,773,250 "
17,"Chris Paul, PG",Houston Rockets,"$24,599,495 "
18,"CJ McCollum, SG",Portland Trail Blazers,"$23,962,573 "
19,"Andre Drummond, C",Detroit Pistons,"$23,775,506 "
20,"Bradley Beal, SG",Washington Wizards,"$23,775,506 "
21,"Anthony Davis, PF",New Orleans Pelicans,"$23,775,506 "
22,"Dwight Howard, C",Charlotte Hornets,"$23,500,000 "
23,"Chandler Parsons, SF",Memphis Grizzlies,"$23,112,004 "
24,"Harrison Barnes, SF",Dallas Mavericks,"$23,112,004 "
25,"JJ Redick, SG",Philadelphia 76ers,"$23,000,000 "
26,"Brook Lopez, C",Los Angeles Lakers,"$22,642,650 "
27,"Marc Gasol, C",Memphis Grizzlies,"$22,642,350 "
28,"DeAndre Jordan, C",LA Clippers,"$22,642,350 "
29,"Kevin Love, C",Cleveland Cavaliers,"$22,642,350 "
30,"Steven Adams, C",Oklahoma City Thunder,"$22,471,910 "
31,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$22,471,910 "
32,"Nicolas Batum, SG",Charlotte Hornets,"$22,434,783 "
33,"Rudy Gobert, C",Utah Jazz,"$21,924,719 "
34,"LaMarcus Aldridge, PF",San Antonio Spurs,"$21,461,010 "
35,"Victor Oladipo, SG",Indiana Pacers,"$21,000,000 "
36,"Danilo Gallinari, SF",LA Clippers,"$20,559,599 "
37,"Serge Ibaka, PF",Toronto Raptors,"$20,061,729 "
38,"George Hill, PG",Sacramento Kings,"$20,000,000 "
39,"Ryan Anderson, PF",Houston Rockets,"$19,578,455 "
40,"Paul George, SF",Oklahoma City Thunder,"$19,508,958 "
41,"Allen Crabbe, SG",Brooklyn Nets,"$19,332,500 "
42,"Jimmy Butler, SG",Minnesota Timberwolves,"$19,301,070 "
43,"Jeff Teague, PG",Minnesota Timberwolves,"$19,000,000 "
44,"Kawhi Leonard, SF",San Antonio Spurs,"$18,868,626 "
45,"Kyrie Irving, PG",Boston Celtics,"$18,868,626 "
46,"John Wall, PG",Washington Wizards,"$18,063,850 "
47,"DeMarcus Cousins, C",New Orleans Pelicans,"$18,063,850 "
48,"Enes Kanter, C",New York Knicks,"$17,884,176 "
49,"Wesley Matthews, SG",Dallas Mavericks,"$17,884,176 "
50,"Klay Thompson, SG",Golden State Warriors,"$17,826,150 "
51,"Joakim Noah, C",New York Knicks,"$17,765,000 "
52,"Kentavious Caldwell-Pope, SG",Los Angeles Lakers,"$17,745,894 "
53,"Luol Deng, SF",Los Angeles Lakers,"$17,190,000 "
54,"Evan Turner, SF",Portland Trail Blazers,"$17,131,148 "
55,"Goran Dragic, PG",Miami Heat,"$17,000,450 "
56,"Bismack Biyombo, C",Orlando Magic,"$17,000,000 "
57,"Evan Fournier, SG",Orlando Magic,"$17,000,000 "
58,"Kent Bazemore, SG",Atlanta Hawks,"$16,910,113 "
59,"Robert Covington, SF",Philadelphia 76ers,"$16,698,103 "
60,"Ian Mahinmi, C",Washington Wizards,"$16,661,641 "
61,"Tim Hardaway Jr., SF",New York Knicks,"$16,500,000 "
62,"Draymond Green, PF",Golden State Warriors,"$16,400,000 "
63,"Tristan Thompson, C",Cleveland Cavaliers,"$16,400,000 "
64,"Pau Gasol, C",San Antonio Spurs,"$16,000,000 "
65,"Reggie Jackson, PG",Detroit Pistons,"$16,000,000 "
66,"Dennis Schroder, PG",Atlanta Hawks,"$15,500,000 "
67,"Jonas Valanciunas, C",Toronto Raptors,"$15,460,675 "
68,"Tony Parker, PG",San Antonio Spurs,"$15,453,126 "
69,"Timofey Mozgov, C",Brooklyn Nets,"$15,280,000 "
70,"Thaddeus Young, PF",Indiana Pacers,"$14,996,348 "
71,"Andre Iguodala, SF",Golden State Warriors,"$14,814,815 "
72,"DeMarre Carroll, SF",Brooklyn Nets,"$14,800,000 "
73,"Eric Bledsoe, PG",Phoenix Suns,"$14,500,000 "
74,"Ricky Rubio, PG",Utah Jazz,"$14,275,000 "
75,"Joe Ingles, SF",Utah Jazz,"$14,136,364 "
76,"Gorgui Dieng, C",Minnesota Timberwolves,"$14,112,360 "
77,"Khris Middleton, SF",Milwaukee Bucks,"$14,100,000 "
78,"Mason Plumlee, C",Denver Nuggets,"$14,041,096 "
79,"Taj Gibson, PF",Minnesota Timberwolves,"$14,000,000 "
80,"Robin Lopez, C",Chicago Bulls,"$13,788,500 "
81,"JR Smith, SG",Cleveland Cavaliers,"$13,760,000 "
82,"James Johnson, PF",Miami Heat,"$13,734,000 "
83,"Brandon Knight, PG",Phoenix Suns,"$13,618,750 "
84,"Marvin Williams, PF",Charlotte Hornets,"$13,168,750 "
85,"Michael Kidd-Gilchrist, SF",Charlotte Hornets,"$13,000,000 "
86,"Tyson Chandler, C",Phoenix Suns,"$13,000,000 "
87,"Eric Gordon, SG",Houston Rockets,"$12,943,020 "
88,"Kenneth Faried, PF",Denver Nuggets,"$12,921,348 "
89,"Marcin Gortat, C",Washington Wizards,"$12,782,609 "
90,"Cody Zeller, C",Charlotte Hornets,"$12,584,270 "
91,"Nikola Mirotic, PF",Chicago Bulls,"$12,500,000 "
92,"Miles Plumlee, C",Atlanta Hawks,"$12,500,000 "
93,"Zach Randolph, PF",Sacramento Kings,"$12,307,692 "
94,"Nikola Vucevic, C",Orlando Magic,"$12,250,000 "
95,"Solomon Hill, SF",New Orleans Pelicans,"$12,236,535 "
96,"Nikola Pekovic, C",Minnesota Timberwolves,"$12,100,000 "
97,"Wilson Chandler, SF",Denver Nuggets,"$12,016,854 "
98,"Kemba Walker, PG",Charlotte Hornets,"$12,000,000 "
99,"Derrick Favors, PF",Utah Jazz,"$12,000,000 "
100,"Jeremy Lin, PG",Brooklyn Nets,"$12,000,000 "
101,"Austin Rivers, PG",LA Clippers,"$11,825,000 "
102,"Courtney Lee, SG",New York Knicks,"$11,747,890 "
103,"Jordan Clarkson, PG",Los Angeles Lakers,"$11,562,500 "
104,"John Henson, C",Milwaukee Bucks,"$11,422,536 "
105,"Monta Ellis, SG",Indiana Pacers,"$11,227,000 "
106,"Amir Johnson, C",Philadelphia 76ers,"$11,000,000 "
107,"Dion Waiters, SG",Miami Heat,"$11,000,000 "
108,"Alec Burks, SG",Utah Jazz,"$10,845,506 "
109,"Patty Mills, PG",San Antonio Spurs,"$10,714,286 "
110,"Kelly Olynyk, PF",Miami Heat,"$10,607,169 "
111,"Omer Asik, C",Chicago Bulls,"$10,595,505 "
112,"Terrence Ross, SG",Orlando Magic,"$10,500,000 "
113,"Mirza Teletovic, PF",Milwaukee Bucks,"$10,500,000 "
114,"Bojan Bogdanovic, SF",Indiana Pacers,"$10,500,000 "
115,"Jon Leuer, PF",Detroit Pistons,"$10,497,319 "
116,"Iman Shumpert, SG",Cleveland Cavaliers,"$10,337,079 "
117,"Maurice Harkless, SF",Portland Trail Blazers,"$10,162,922 "
118,"Danny Green, SG",San Antonio Spurs,"$10,000,000 "
119,"Jared Dudley, SF",Phoenix Suns,"$10,000,000 "
120,"Darren Collison, PG",Indiana Pacers,"$10,000,000 "
121,"Meyers Leonard, C",Portland Trail Blazers,"$9,904,495 "
122,"Tony Snell, SG",Milwaukee Bucks,"$9,887,640 "
123,"Al Jefferson, C",Indiana Pacers,"$9,769,821 "
124,"Matthew Dellavedova, PG",Milwaukee Bucks,"$9,607,500 "
125,"Bogdan Bogdanovic, SG",Sacramento Kings,"$9,412,280 "
126,"Andre Roberson, SG",Oklahoma City Thunder,"$9,259,260 "
127,"Trevor Booker, PF",Philadelphia 76ers,"$9,125,000 "
128,"Dwight Powell, C",Dallas Mavericks,"$9,003,125 "
129,"Gerald Henderson, SG",Philadelphia 76ers,"$9,000,000 "
130,"Jerryd Bayless, PG",Philadelphia 76ers,"$9,000,000 "
131,"Avery Bradley, SG",LA Clippers,"$8,808,989 "
132,"JaMychal Green, PF",Memphis Grizzlies,"$8,533,333 "
133,"E'Twaun Moore, SF",New Orleans Pelicans,"$8,445,024 "
134,"Rudy Gay, SF",San Antonio Spurs,"$8,406,000 "
135,"Kosta Koufos, C",Sacramento Kings,"$8,393,000 "
136,"Markieff Morris, PF",Washington Wizards,"$8,000,000 "
137,"Garrett Temple, SF",Sacramento Kings,"$8,000,000 "
138,"Vince Carter, SG",Sacramento Kings,"$8,000,000 "
139,"Yi Jianlian, SF",Los Angeles Lakers,"$8,000,000 "
140,"CJ Miles, SF",Toronto Raptors,"$7,936,509 "
141,"Cristiano Felicio, C",Chicago Bulls,"$7,833,500 "
142,"Shaun Livingston, PG",Golden State Warriors,"$7,692,308 "
