,daima,fee,jingzhi,names,rateD,rateW,urls
0,161725,0.10%,1.1950,招商中证白酒指数分级,-2.05%,-0.58%,http://fund.eastmoney.com/161725.html
1,160222,0.00%,1.3468,国泰国证食品饮料行业指数分级,-1.94%,1.04%,http://fund.eastmoney.com/160222.html
2,160632,0.12%,1.4210,鹏华酒分级,-1.86%,0.50%,http://fund.eastmoney.com/160632.html
3,399011,0.15%,1.8700,中海医疗保健主题股票,-1.89%,-1.48%,http://fund.eastmoney.com/399011.html
4,000248,0.10%,1.5607,汇添富中证主要消费ETF联接,-1.38%,0.53%,http://fund.eastmoney.com/000248.html
5,001605,0.15%,1.2090,国富沪港深成长精选股票,-0.25%,0.33%,http://fund.eastmoney.com/001605.html
6,001717,0.15%,1.6860,工银前沿医疗股票,-1.46%,-1.11%,http://fund.eastmoney.com/001717.html
7,001186,0.15%,1.0910,富国文体健康股票,-1.18%,-0.82%,http://fund.eastmoney.com/001186.html
8,001044,0.15%,1.5090,嘉实新消费股票,-1.24%,0.27%,http://fund.eastmoney.com/001044.html
9,110022,0.15%,2.3380,易方达消费行业,-1.81%,-0.34%,http://fund.eastmoney.com/110022.html
10,001208,0.15%,1.1220,诺安低碳经济股票,-0.88%,-0.44%,http://fund.eastmoney.com/001208.html
11,001725,0.15%,1.3760,汇添富高端制造股票,-1.01%,0.22%,http://fund.eastmoney.com/001725.html
12,001631,0.10%,1.5274,天弘中证食品饮料指数A,-1.77%,1.13%,http://fund.eastmoney.com/001631.html
13,001632,0.00%,1.5172,天弘中证食品饮料指数C,-1.78%,1.13%,http://fund.eastmoney.com/001632.html
14,000991,0.15%,1.2820,工银战略转型股票,-0.85%,-1.16%,http://fund.eastmoney.com/000991.html
15,519193,0.15%,1.3054,万家消费成长,-0.82%,-0.52%,http://fund.eastmoney.com/519193.html
16,000854,0.15%,1.7670,鹏华养老产业,-1.83%,-0.84%,http://fund.eastmoney.com/000854.html
17,001703,0.15%,1.4280,银华沪港深增长股票,-1.45%,-0.14%,http://fund.eastmoney.com/001703.html
18,001171,0.15%,0.9130,工银养老产业股票,-1.51%,-0.98%,http://fund.eastmoney.com/001171.html
19,004075,0.15%,1.3331,交银医药创新股票,-1.38%,-1.69%,http://fund.eastmoney.com/004075.html
20,501010,0.00%,1.3219,汇添富中证生物科技指数C,-1.64%,-1.34%,http://fund.eastmoney.com/501010.html
21,501009,0.10%,1.3217,汇添富中证生物科技指数A,-1.67%,-1.39%,http://fund.eastmoney.com/501009.html
22,002697,0.00%,1.3630,中欧消费主题股票C,-2.08%,-0.07%,http://fund.eastmoney.com/002697.html
23,002121,0.15%,1.4680,广发沪港深新起点股票,-0.34%,0.82%,http://fund.eastmoney.com/002121.html
24,002621,0.15%,1.3510,中欧消费主题股票A,-2.03%,-0.07%,http://fund.eastmoney.com/002621.html
25,001938,0.15%,1.2411,中欧时代先锋股票A,-1.15%,-1.68%,http://fund.eastmoney.com/001938.html
26,000751,0.15%,2.1760,嘉实新兴产业股票,-1.27%,-0.68%,http://fund.eastmoney.com/000751.html
27,540009,0.15%,1.0678,汇丰晋信消费红利,-0.72%,-0.18%,http://fund.eastmoney.com/540009.html
28,165312,0.12%,0.9338,建信央视50,-0.79%,-0.51%,http://fund.eastmoney.com/165312.html
