,box_offices,country,names,time,types,urls
0,27490,中国/中国香港/韩国,赤壁(上),2008-07-10,战争,http://www.cbooo.cn/m/184
1,20453,中国/中国香港/新加坡,画皮,2008-09-26,爱情,http://www.cbooo.cn/m/1491
2,17641,中国/中国香港,非诚勿扰,2008-12-18,爱情,http://www.cbooo.cn/m/557894
3,15150,美国,功夫熊猫,2008-06-20,动画,http://www.cbooo.cn/m/350723
4,15150,美国,功夫熊猫：师傅的秘密,,动画,http://www.cbooo.cn/m/618531
5,14560,美国/中国,功夫之王,2008-04-24,动作,http://www.cbooo.cn/m/442
6,12046,英国/美国,007：大破量子危机,2008-11-05,动作/惊悚,http://www.cbooo.cn/m/373864
7,11000,德国/加拿大/美国/中国,木乃伊3：龙帝之墓,2008-09-02,惊悚,http://www.cbooo.cn/m/361634
8,9739,中国/中国香港,梅兰芳,2008-12-04,剧情,http://www.cbooo.cn/m/485078
9,9578,中国香港/中国台湾/中国,大灌篮,2008-02-08,爱情,http://www.cbooo.cn/m/3452
10,9227,美国,全民超人汉考克,2008-07-02,动作/喜剧,http://www.cbooo.cn/m/339428
11,7712,美国,钢铁侠,2008-04-30,动作,http://www.cbooo.cn/m/346815
12,7600,美国/德国,通缉令,2008-10-09,惊悚/动作,http://www.cbooo.cn/m/398701
13,7300,美国,国家宝藏：夺宝秘笈,2008-03-17,惊悚,http://www.cbooo.cn/m/363240
14,7220,美国/新西兰,史前一万年,2008-03-21,科幻,http://www.cbooo.cn/m/404123
15,7207,中国香港/中国/韩国,集结号,2007-12-20,战争/剧情,http://www.cbooo.cn/m/692
16,6631,英国/美国,纳尼亚传奇2：凯斯宾王子,2008-06-06,魔幻,http://www.cbooo.cn/m/317033
17,6517,中国香港/中国,叶问,2008-12-12,动作,http://www.cbooo.cn/m/4160
18,6280,美国/英国,尼斯湖怪·深水传说,2008-02-17,惊悚,http://www.cbooo.cn/m/386691
19,6025,美国,地心历险记,2008-09-28,科幻,http://www.cbooo.cn/m/348627
20,6015,中国/韩国/中国香港,三国之见龙卸甲,2008-04-03,战争,http://www.cbooo.cn/m/1227
21,5389,美国,无敌浩克,2008-08-20,科幻/惊悚,http://www.cbooo.cn/m/345547
22,4474,中国,十全九美,2008-08-01,喜剧,http://www.cbooo.cn/m/559983
