,data,fengli,fengxiang,maxtem,mintem,tianqi
0,2017-01-01,1级,东风,36,24,多云
1,2017-01-02,1级,北风,36,24,多云
2,2017-01-03,1级,东风,36,24,多云
3,2017-01-04,1级,东风,36,24,多云
4,2017-01-05,1级,东北风,36,24,多云
5,2017-01-06,1级,东北风,36,24,多云
6,2017-01-07,1级,西风,36,24,多云
7,2017-01-08,1级,西北风,36,24,多云
8,2017-01-09,1级,东风,36,24,多云
9,2017-01-10,1级,北风,36,24,多云
10,2017-01-11,1级,北风,36,24,多云
11,2017-01-12,1级,西南风,36,24,多云
12,2017-01-13,1级,东北风,36,24,多云
13,2017-01-14,1级,东北风,36,24,多云
14,2017-01-15,1级,东风,36,24,多云
15,2017-01-16,1级,东风,36,24,多云
16,2017-01-17,1级,东风,36,24,多云
17,2017-01-18,1级,东北风,36,24,多云
18,2017-01-19,1级,西北风,36,24,多云
19,2017-01-20,1级,东北风,36,24,多云
20,2017-01-21,1级,北风,36,24,多云
21,2017-01-22,1级,东南风,36,24,多云
22,2017-01-23,1级,东风,36,24,多云
23,2017-01-24,1级,东风,36,24,多云
24,2017-01-25,1级,东南风,36,24,多云
25,2017-01-26,1级,南风,36,24,多云
26,2017-01-27,1级,东风,36,24,多云
27,2017-01-28,1级,东北风,36,24,多云
28,2017-01-29,1级,西北风,36,24,多云
29,2017-01-30,1级,东风,36,24,多云
30,2017-01-31,1级,东风,36,24,多云
31,2017-02-01,1级,东北风,36,24,多云
32,2017-02-02,1级,东风,36,24,多云
33,2017-02-03,1级,西北风,36,24,多云
34,2017-02-04,1级,北风,36,24,多云
35,2017-02-05,1级,北风,36,24,多云
36,2017-02-06,1级,东风,36,24,多云
37,2017-02-07,1级,东北风,36,24,多云
38,2017-02-08,1级,北风,36,24,多云
39,2017-02-09,1级,西北风,36,24,多云
40,2017-02-10,1级,西风,36,24,多云
41,2017-02-11,1级,北风,36,24,多云
42,2017-02-12,1级,东风,36,24,多云
43,2017-02-13,1级,北风,36,24,多云
44,2017-02-14,1级,东南风,36,24,多云
45,2017-02-15,1级,东南风,36,24,多云
46,2017-02-16,1级,东南风,36,24,多云
47,2017-02-17,1级,东风,36,24,多云
48,2017-02-18,1级,东风,36,24,多云
49,2017-02-19,1级,南风,36,24,多云
50,2017-02-20,1级,东风,36,24,多云
51,2017-02-21,1级,东南风,36,24,多云
52,2017-02-22,1级,西北风,36,24,多云
53,2017-02-23,1级,北风,36,24,多云
54,2017-02-24,1级,南风,36,24,多云
55,2017-02-25,1级,东风,36,24,多云
56,2017-02-26,1级,东风,36,24,多云
57,2017-02-27,1级,东风,36,24,多云
58,2017-02-28,1级,东南风,36,24,多云
59,2017-03-01,1级,西北风,36,24,多云
60,2017-03-02,1级,西风,36,24,多云
61,2017-03-03,1级,南风,36,24,多云
62,2017-03-06,1级,东风,36,24,多云
63,2017-03-07,1级,东北风,36,24,多云
64,2017-03-08,1级,北风,36,24,多云
65,2017-03-09,1级,东风,36,24,多云
66,2017-03-10,1级,东南风,36,24,多云
67,2017-03-11,1级,东南风,36,24,多云
68,2017-03-12,1级,东风,36,24,多云
69,2017-03-13,1级,东北风,36,24,多云
70,2017-03-14,1级,东北风,36,24,多云
71,2017-03-15,1级,东风,36,24,多云
72,2017-03-16,1级,东风,36,24,多云
73,2017-03-17,1级,东风,36,24,多云
74,2017-03-18,1级,东风,36,24,多云
75,2017-03-19,1级,东风,36,24,多云
76,2017-03-20,1级,北风,36,24,多云
77,2017-03-21,1级,东风,36,24,多云
78,2017-03-22,1级,东风,36,24,多云
79,2017-03-23,1级,东风,36,24,多云
80,2017-03-24,1级,东南风,36,24,多云
81,2017-03-25,1级,西北风,36,24,多云
82,2017-03-26,1级,西北风,36,24,多云
83,2017-03-27,1级,东南风,36,24,多云
84,2017-03-28,1级,北风,36,24,多云
85,2017-03-29,1级,北风,36,24,多云
86,2017-03-30,1级,东北风,36,24,多云
87,2017-03-31,1级,北风,36,24,多云
88,2017-04-01,1级,南风,36,24,多云
89,2017-04-02,1级,东南风,36,24,多云
90,2017-04-03,1级,东南风,36,24,多云
91,2017-04-04,1级,东风,36,24,多云
92,2017-04-05,1级,西风,36,24,多云
93,2017-04-06,1级,东风,36,24,多云
94,2017-04-07,1级,东风,36,24,多云
95,2017-04-08,1级,东风,36,24,多云
96,2017-04-09,1级,北风,36,24,多云
97,2017-04-10,1级,北风,36,24,多云
98,2017-04-11,1级,西风,36,24,多云
99,2017-04-12,1级,南风,36,24,多云
100,2017-04-13,1级,南风,36,24,多云
101,2017-04-14,1级,南风,36,24,多云
102,2017-04-15,1级,东风,36,24,多云
103,2017-04-16,1级,东风,36,24,多云
104,2017-04-17,1级,西风,36,24,多云
105,2017-04-18,1级,西北风,36,24,多云
106,2017-04-19,1级,东南风,36,24,多云
107,2017-04-20,1级,西北风,36,24,多云
108,2017-04-21,1级,东北风,36,24,多云
109,2017-04-22,1级,北风,36,24,多云
110,2017-04-23,1级,东南风,36,24,多云
111,2017-04-24,1级,南风,36,24,多云
112,2017-04-25,1级,东北风,36,24,多云
113,2017-04-26,1级,东北风,36,24,多云
114,2017-04-27,1级,西南风,36,24,多云
115,2017-04-28,1级,西南风,36,24,多云
116,2017-04-29,1级,西南风,36,24,多云
117,2017-04-30,1级,南风,36,24,多云
118,2017-05-01,1级,东风,36,24,多云
119,2017-05-02,1级,东风,36,24,多云
120,2017-05-03,1级,东风,36,24,多云
121,2017-05-04,1级,西北风,36,24,多云
122,2017-05-05,1级,东南风,36,24,多云
123,2017-05-06,1级,东风,36,24,多云
124,2017-05-07,1级,东风,36,24,多云
125,2017-05-08,1级,东北风,36,24,多云
126,2017-05-09,1级,西风,36,24,多云
127,2017-05-10,1级,南风,36,24,多云
128,2017-05-11,1级,西风,36,24,多云
129,2017-05-12,1级,南风,36,24,多云
130,2017-05-13,1级,东北风,36,24,多云
131,2017-05-14,1级,东风,36,24,多云
132,2017-05-15,1级,东北风,36,24,多云
133,2017-05-16,1级,东南风,36,24,多云
134,2017-05-17,1级,南风,36,24,多云
135,2017-05-18,1级,东南风,36,24,多云
136,2017-05-19,1级,东风,36,24,多云
137,2017-05-20,1级,东风,36,24,多云
138,2017-05-21,1级,东南风,36,24,多云
139,2017-05-22,1级,东南风,36,24,多云
140,2017-05-23,1级,北风,36,24,多云
141,2017-05-24,1级,西北风,36,24,多云
142,2017-05-25,1级,西南风,36,24,多云
143,2017-05-26,1级,东风,36,24,多云
144,2017-05-27,1级,南风,36,24,多云
145,2017-05-28,1级,南风,36,24,多云
146,2017-05-29,1级,东南风,36,24,多云
147,2017-05-30,1级,西北风,36,24,多云
148,2017-05-31,1级,南风,36,24,多云
149,2017-06-01,1级,东北风,36,24,多云
150,2017-06-02,1级,东南风,36,24,多云
151,2017-06-03,1级,东风,36,24,多云
152,2017-06-04,1级,东风,36,24,多云
153,2017-06-05,1级,东南风,36,24,多云
154,2017-06-06,1级,西风,36,24,多云
155,2017-06-07,1级,东风,36,24,多云
156,2017-06-08,1级,南风,36,24,多云
157,2017-06-09,1级,西南风,36,24,多云
158,2017-06-10,1级,东北风,36,24,多云
159,2017-06-11,1级,东风,36,24,多云
160,2017-06-12,1级,东南风,36,24,多云
161,2017-06-13,1级,东南风,36,24,多云
162,2017-06-14,1级,东风,36,24,多云
163,2017-06-15,1级,东南风,36,24,多云
164,2017-06-16,1级,东南风,36,24,多云
165,2017-06-17,1级,东南风,36,24,多云
166,2017-06-18,1级,东南风,36,24,多云
167,2017-06-19,1级,东北风,36,24,多云
168,2017-06-20,1级,东风,36,24,多云
169,2017-06-21,1级,东风,36,24,多云
