时间,最高,最低,收盘,涨跌,涨幅%,振幅%,总手(万),金额(亿)
2018/8/15,2777.7,2721.24,2723.26,-57.7,-2.07,2.03,11616178700,1.18708E+11
2018/8/16,2732.95,2672.74,2705.19,-18.07,-0.66,2.21,12027787800,1.17581E+11
2018/8/17,2730.33,2665.59,2668.97,-36.22,-1.34,2.39,11244529400,1.15499E+11
2018/8/20,2698.47,2653.11,2698.47,29.5,1.11,1.7,11078416400,1.14048E+11
2018/8/21,2739.17,2696.29,2733.83,35.36,1.31,1.59,11358683900,1.2226E+11
2018/8/22,2731.96,2709.06,2714.61,-19.22,-0.7,0.838,9366464000,98463970000
2018/8/23,2736.01,2700.8,2724.62,10.01,0.37,1.3,9844647000,1.07826E+11
2018/8/24,2748.82,2705.32,2729.43,4.81,0.18,1.6,10051626900,1.02666E+11
2018/8/27,2780.9,2736.32,2780.9,51.47,1.89,1.63,13276257800,1.4143E+11
2018/8/28,2791.39,2769.4,2777.98,-2.92,-0.11,0.791,11874936700,1.25119E+11
2018/8/29,2778.54,2762.35,2769.29,-8.69,-0.31,0.583,10015692900,1.01221E+11
2018/8/30,2780.53,2736.35,2737.74,-31.55,-1.14,1.6,10606094300,1.064E+11
2018/8/31,2744.63,2710.54,2725.25,-12.49,-0.46,1.25,10975874200,1.14813E+11
2018/9/3,2722.85,2692.36,2720.73,-4.52,-0.17,1.12,10221301100,1.04818E+11
2018/9/4,2756.61,2712.38,2750.58,29.85,1.1,1.63,10901030700,1.13709E+11
2018/9/5,2745.47,2704.34,2704.34,-46.24,-1.68,1.5,10500226900,1.07269E+11
2018/9/6,2719.41,2683.74,2691.59,-12.75,-0.47,1.32,9901783300,1.06266E+11
2018/9/7,2728.55,2683.72,2702.3,10.71,0.4,1.67,10752329300,1.1384E+11
2018/9/10,2703.43,2667.32,2669.48,-32.82,-1.21,1.34,10355917000,1.02861E+11
2018/9/11,2680.57,2652.7,2664.8,-4.68,-0.18,1.04,9986594600,96884582000
2018/9/12,2672.07,2647.17,2656.11,-8.69,-0.33,0.934,9002675800,93448206000
2018/9/13,2689.06,2653.19,2686.58,30.47,1.15,1.35,10733501400,1.12464E+11
2018/9/14,2694.92,2675.29,2681.64,-4.94,-0.18,0.731,10000500800,1.04992E+11
2018/9/17,2671.29,2647.92,2651.79,-29.85,-1.11,0.871,8823888800,86962599000
2018/9/18,2700.19,2644.3,2699.95,48.16,1.82,2.11,11576799300,1.13032E+11
2018/9/19,2746.08,2690.99,2730.85,30.9,1.14,2.04,14155032000,1.40107E+11
